GeneName	FC	BatchId	SampleId	CN	SegmentNo
CCND2	0.8589951073792574	T00012	UNLJ32261460976509	2	1
CCND2	0.5494291173980879	T00012	UESW72614206467660	0	1
CCND2	0.9691007600666102	T00012	JLKM81305527938012	2	1
CCND2	0.9604760995375426	T00012	DXPB92773055614459	2	1
CCND2	0.9784936336175879	T00012	ZIJJ54344549779252	2	1
CCND2	0.896710703111529	T00012	FCAJ48655555950077	2	1
CCND2	0.9303540003990932	T00012	MVWD01442270735766	2	1
CCND2	1.1221461505692618	T00012	YEAF99979497916176	3	1
CCND2	0.43201471862342916	T00013	WEZZ08428778314165	0	1
CCND2	0.92202463865504	T00013	XTPS27309044824707	2	1
CCND2	0.91984346065261	T00013	EJUH37759295525254	2	1
CCND2	0.8668405142414742	T00013	PNTI01364953805788	2	1
CCND2	0.8962297346924509	T00013	WIBT76649431061918	2	1
CCND2	0.9089191034706745	T00013	QEXK91658653435025	2	1
CCND2	0.9492219445728269	T00013	EDQE67041316665048	2	1
CCND2	0.8949100766201641	T00013	AQTD27005408663209	2	1
CCND2	0.43598574084597125	T00014	DZLI40843194395357	0	1
CCND2	0.8883092970277825	T00014	KCPI99537503885823	2	1
CCND2	1.034155475244657	T00014	BMQW04855492045652	2	1
CCND2	0.4510914796272094	T00014	SGHU20336368092777	0	1
CCND2	0.9646344770843635	T00014	IJLO83555879372091	2	1
CCND2	1.0708853598956616	T00014	DRJQ45721782608698	2	1
CCND2	0.8683358738906767	T00014	WVPH48140203072059	2	1
CCND2	1.4922621145281934	T00014	MYHJ29595959715363	4	1
CCND2	0.9998004446869716	T00015	GFRZ50379992298108	2	1
CCND2	0.4826805919662584	T00015	VIPF87914881302200	0	1
CCND2	0.8600442906774283	T00015	OQPV20755320624974	2	1
CCND2	0.8831447833557592	T00015	PZPV72926623290050	2	1
CCND2	0.8066126988782145	T00015	UUEX24164976388784	2	1
CCND2	0.9516896122511475	T00015	ZFMV17075224031472	2	1
CCND2	0.8786348434779393	T00015	WYQL62587716242684	2	1
CCND2	0.9038652375594834	T00015	BXJX03045062393965	2	1
CCND2	1.0155328920164932	T00016	NIOV32519690965684	2	1
CCND2	1.3678016593371005	T00016	SRPT08071126548433	4	1
CCND2	1.0387537992594342	T00016	XBMN20881699767873	2	1
CCND2	0.8892559938667676	T00016	HCZK26076982421634	2	1
CCND2	0.9252890368947237	T00016	PRKH25917292434712	2	1
CCND2	0.8806202843349732	T00016	CJOU27295699328973	2	1
CCND2	0.9776274129957434	T00016	MFCJ41984752165768	2	1
CCND2	0.908909181340058	T00016	VROO00562049083654	2	1
CCND2	0.8788134382926639	T00017	CWHG46696235343766	2	1
CCND2	1.244594616868524	T00017	CKKZ17216544983373	3	1
CCND2	0.9047966571316924	T00017	WROI61818224728403	2	1
CCND2	0.961727620237785	T00017	DRRW73603012839418	2	1
CCND2	0.9971310486558556	T00017	BLTJ21965464034302	2	1
CCND2	0.9348514552270835	T00017	CIJB80365738312405	2	1
CCND2	0.9583801190078071	T00017	TQIJ19952584482305	2	1
CCND2	1.0261811757503814	T00017	WZIE25651217208857	2	1
CCND2	0.9305221336907291	T00018	CPMB38399257044943	2	1
CCND2	0.882182794464832	T00018	EIQV61241894843899	2	1
CCND2	0.9569030649736343	T00018	OGYL77888609400156	2	1
CCND2	0.925162119031204	T00018	KZJZ75033357753393	2	1
CCND2	0.4605651326709022	T00018	WYRK82839657364047	0	1
CCND2	0.8714913538412699	T00018	LXLU82299727784863	2	1
CCND2	0.8830208527553522	T00018	GMYH96726192820883	2	1
CCND2	0.9277316036710909	T00018	OQBJ77888282439409	2	1
CCND2	0.9394746633313926	T00019	JWJJ59052187377844	2	1
CCND2	1.0017224404372045	T00019	JZPD78673390267577	2	1
CCND2	0.8308760056765601	T00019	PASY70426760416292	2	1
CCND2	0.929665804639185	T00019	MVMJ05435970302227	2	1
CCND2	0.8572363863256641	T00019	NBZI54240023986882	2	1
CCND2	1.086935892644718	T00019	DIRT07017152738028	3	1
CCND2	0.9178601867501913	T00019	EUEL73634622152680	2	1
CCND2	0.9755441891072174	T00019	DIRQ75552820980989	2	1
CCND2	0.8899088194883052	T00020	LZZR92715865272435	2	1
CCND2	0.4937428619628558	T00020	GGMN52159485004394	0	1
CCND2	0.8591001316833566	T00020	RJHH78770217551125	2	1
CCND2	1.651443500206794	T00020	ERLY68947342931568	5	1
